A	B
FOXN3	MYLK
LIMCH1	MYLK
ZFR	ZC3H15
ALS2	MAP2K4
TTC19	MAP2K4
NUP160	MAP2K4
TDP1	PACC1
CFLAR	SLK
KDM7A	SLK
RUFY3	SLK
WWTR1	SLK
PRKCH	SLK
ZNF800	SLK
VPS13D	SLK
KMT2C	SLK
INTS13	CYB5R4
ACSM3	GSTO2
ALDH3B1	GSTO2
SCIN	GSTO2
ARSD	GSTO2
CACNA2D2	GSTO2
MGST1	GSTO2
RHOBTB2	GSTO2
LMO3	GSTO2
KCNQ1	GSTO2
PTPRU	GSTO2
MSL3	SEC61A2
CYFIP2	PRKCQ
RHBDF1	TLE2
OSBPL5	TLE2
RIPOR1	TLE2
CTNNA1	FAM107B
TAB2	FAM107B
