A	B
ELOA	MAVS
CELF2	MAVS
FOXN3	MAVS
ATP9A	MAVS
SPHK2	MAVS
TTC38	MAVS
MCCC1	MAVS
OXCT1	MAVS
AGPS	SNX5
MTMR11	P2RX7
SLAMF7	P2RX7
LPAR2	P2RX7
DAPP1	P2RX7
GLI2	P2RX7
PHTF2	SLC23A2
TFE3	TMEM230
EIF2B3	TMEM230
ACAT1	TMEM230
OSTM1	TMEM230
ERBB3	NOS1
BAX	FXYD5
TRAF3IP2	GRAMD1A
YBX3	GRAMD1A
JMJD6	GRAMD1A
KLHL13	HEPH
TSPOAP1	HEPH
MTMR11	HEPH
CYFIP2	HEPH
PFKP	HEPH
GLI2	HEPH
NOTCH3	HEPH
PAK3	HEPH
PGR	HEPH
DLG3	HEPH
TRAF5	HEPH
GNAO1	HEPH
ALDH3B1	GMIP
MATK	GMIP
TRAF3IP3	GMIP
MSR1	GMIP
SLC4A8	GMIP
PACC1	GMIP
SPAG5	GMIP
GPR137B	GMIP
PILRA	GMIP
CASS4	GMIP
ALDH3B1	ARHGAP4
CASS4	ARHGAP4
SIGLEC1	ARHGAP4
PAK3	LTBP4
ITM2A	LTBP4
REX1BD	BLVRB
ALDH3B1	BLVRB
GRN	BLVRB
CYBA	BLVRB
USE1	MRPS33
MPC1	MRPS33
HSD17B10	MRPS33
NADK	IRAK3
AASS	IRAK3
ST3GAL1	IRAK3
FAM214A	IRAK3
HEBP2	IRAK3
HIPK2	IRAK3
WIPI1	IRAK3
RPS6KA2	IRAK3
TTC38	IRAK3
ACACB	IRAK3
JADE1	IRAK3
SESN1	IRAK3
CRLS1	IRAK3
FYB1	LYZ
CASS4	LYZ
NSF	DNAJB11
AKR1B1	MCOLN1
BLVRB	MCOLN1
TNFRSF1B	PLEKHG2
BCAR1	PLEKHG2
TMEM98	NAT14
CHRD	NAT14
BCAR1	PITPNM2
PVR	PITPNM2
NFKB2	PITPNM2
IL4R	PITPNM2
PGS1	PITPNM2
GRAMD1A	PITPNM2
PLEKHG2	PITPNM2
CAPN1	DTX2
NDE1	DTX2
BTK	NLRC4
TYROBP	NLRC4
WAS	NLRC4
MSR1	NLRC4
BCAT1	NLRC4
SPI1	NLRC4
KCNAB2	NLRC4
STXBP2	NLRC4
FYB1	NLRC4
CASS4	NLRC4
GMIP	NLRC4
PKP2	NRCAM
GCLC	DLD
AK2	DLD
KIAA0100	DLD
ELOA	DLD
RNF14	DLD
ACER3	DLD
SAR1A	DLD
BCKDHB	DLD
CRLS1	DLD
TMEM230	DLD
EPB41L1	ABCC6
MAP2	ITGA6
AK2	FH
ANGEL1	SEL1L3
ARHGAP15	SEL1L3
SEC62	CDV3
DIS3	CDV3
RRN3	CDV3
CCDC88C	NLRP1
HFE	ZFHX4
DCN	ZFHX4
NFKB2	CD200
PARP12	PSME1
JADE1	SLC7A8
SESN1	SLC7A8
KLHL13	SLC22A17
TSPOAP1	SLC22A17
TMEM98	SLC22A17
ARHGAP44	SLC22A17
CD9	SLC22A17
TMEM159	SLC22A17
CC2D2A	SLC22A17
CA11	SLC22A17
CACNB1	SLC22A17
EVC	SLC22A17
NOTCH3	SLC22A17
PAK3	SLC22A17
DLG3	SLC22A17
TRAF5	SLC22A17
HEPH	SLC22A17
PRKAR2B	TYRO3
MGST1	TYRO3
AIFM2	TYRO3
RETSAT	TYRO3
NEDD4L	TYRO3
PTGER3	TYRO3
HEBP2	TYRO3
ATP9A	TYRO3
GYG2	TYRO3
TTC38	TYRO3
MCCC1	TYRO3
LIPE	TYRO3
PGM1	TYRO3
OXCT1	TYRO3
RAD52	CAPN3
TRAF1	CAPN3
AASS	TBX15
FAM214A	TBX15
CELF2	TBX15
TGFBR3	TBX15
ARHGAP10	TBX15
JADE1	TBX15
IRAK3	TBX15
ENTPD2	COL9A3
ARHGAP33	UNC13D
OSBPL7	UNC13D
IFFO1	UNC13D
TRAF1	UNC13D
CAPN3	UNC13D
KLHL13	TGFB2
CD44	TGFB2
PAK3	TGFB2
MAD1L1	COMT
TYROBP	ADA2
RNASET2	ADA2
KCNAB2	ADA2
PTPRC	ADA2
FYB1	ADA2
CASS4	ADA2
LYZ	ADA2
GCLC	ECHDC1
