A	B
FAP	GALNT16
SYNJ2	GALNT16
GNAO1	GALNT16
NRP1	GALNT16
KDELR3	GALNT16
HIVEP2	HIF1A
CD44	HIF1A
TNFRSF1B	HIF1A
YBX3	HIF1A
BCL3	HIF1A
ACTN1	HIF1A
EPB41L3	HIF1A
ICAM1	HIF1A
RFX3	DICER1
TSPOAP1	PAPLN
DLEC1	PAPLN
PAK3	PAPLN
NAALAD2	PAPLN
MAP2	PAPLN
SEMA5B	PAPLN
YPEL1	PAPLN
FAM13B	RPS6KA5
SLC25A40	RPS6KA5
SLC23A2	RPS6KA5
NADK	CCNB1IP1
TTC38	CCNB1IP1
C3orf18	EFS
CLTCL1	PCK2
RPS6KA2	PCK2
MOCOS	PCK2
PLXNA2	PCK2
JADE1	PCK2
SLC7A8	PCK2
GGT5	PCK2
SUN2	PCK2
ADIPOR2	NFKBIA
BIRC3	NFKBIA
ARHGAP10	NFKBIA
RHBDF1	REC8
SEMA3B	REC8
TCF7	REC8
VCAN	PLTP
PEBP1	ABHD12
BTN3A1	NINL
EPB41L1	NINL
IFT27	NINL
ALDH3B1	ZMYND8
ADIPOR2	ZMYND8
PRDM11	ZMYND8
CTNS	ZMYND8
IP6K2	ZMYND8
ARHGAP10	ZMYND8
PICK1	ZMYND8
TF	SGK2
CCN5	RIMS4
FBLN1	RIMS4
MRC2	DOK5
HGF	DOK5
NRP1	DOK5
KDELR3	DOK5
ABCB4	BMP7
ETV1	BMP7
ANOS1	BMP7
CNTN1	BMP7
COL9A2	BMP7
ENTPD2	BMP7
ERBB3	BMP7
SDK2	BMP7
ST6GALNAC2	BMP7
ARHGAP15	BMP7
RAP1GAP	BMP7
MAP2	BMP7
MOXD1	BMP7
P2RX7	BMP7
SLC22A17	BMP7
STAB1	SLC17A9
WAS	SLC17A9
NCF4	SLC17A9
GRAMD1B	BIRC7
CAMK2B	BIRC7
EFR3B	BIRC7
ACTN2	EEF1A2
DUSP13	EEF1A2
CCDC124	C20orf27
NDUFB2	C20orf27
ATP5F1D	C20orf27
SLC7A8	ISM1
MRC2	RASSF2
