A	B
SLC12A2	SLC44A1
ERBB3	SLC44A1
PACC1	SLC44A1
PRKCQ	SLC44A1
FAM107B	SLC44A1
DIP2B	SLC44A1
ELOVL1	SLC44A1
FGFR2	SLC44A1
MTFR1	SLC44A1
SIRT2	SLC44A1
RHBDF1	FSTL3
TEAD3	FSTL3
MVP	FSTL3
MAP2K3	FSTL3
PLEKHH3	FSTL3
FKBP4	JMJD6
HSPA5	JMJD6
MXD1	JMJD6
SLC38A5	ST6GALNAC1
ADGRA2	ST6GALNAC1
TIE1	ST6GALNAC1
ADGRF5	ST6GALNAC1
NRIP2	FRMPD1
CALCR	CNGB1
SLC6A7	CNGB1
SLC6A16	ST6GALNAC2
SLC25A13	TESK2
LAMP2	TESK2
TMEM98	TESK2
MYLIP	TESK2
SYPL1	TESK2
NFIX	TESK2
BRCA1	TESK2
SEMA3B	TESK2
PHLDB1	TESK2
VRK2	TESK2
FUT8	TESK2
DAPK2	TESK2
VAMP3	TESK2
PLEKHH1	TESK2
TMCC3	TESK2
WNK1	TESK2
SLC12A2	TESK2
ERBB3	TESK2
PACC1	TESK2
PRKCQ	TESK2
