A	B
ARHGAP33	COL16A1
EPHA3	COL16A1
EVC	COL16A1
MVP	TXLNA
PGM3	TXLNA
HDAC7	TXLNA
TRO	KIF3C
PDK2	HADHA
USP13	HADHA
ACADVL	HADHA
CCDC88C	MECOM
PREX2	MECOM
MGLL	MECOM
PGM3	WDFY1
SOAT1	WDFY1
CDK17	WDFY1
NEDD4	WDFY1
HACD3	WDFY1
BZW1	WDFY1
TSPOAP1	WNT11
HCCS	MTIF2
GDE1	MTIF2
UQCRC1	TTC39A
MDH1	TTC39A
RRAGD	TTC39A
NEDD4L	TTC39A
PKP2	TTC39A
USP13	TTC39A
MPC1	TTC39A
SDHA	TTC39A
ACTN2	TTC39A
USP36	B4GALT1
BCKDHB	EPDR1
SEMA3F	ITPKC
RELT	ITPKC
USP36	ITPKC
ATP1B3	ITPKC
PLXNA2	ITPKC
LPAR2	LAT2
ACAP1	LAT2
ALPK1	LAT2
SPAG5	LAT2
PTBP1	TRIP6
OSBPL5	TRIP6
OGFR	TRIP6
HDAC7	TRIP6
RPL18	TRIP6
TCF3	TRIP6
ARHGEF1	TRIP6
SIRT6	TRIP6
MCUB	FTL
NADK	FTL
VIM	FTL
LCP2	FTL
CYBA	FTL
GNA15	FTL
SPI1	FTL
TNFRSF1A	FTL
ALPK1	FTL
LAT2	FTL
OGFR	BAX
HDAC7	BAX
DGKA	BAX
PDIA5	BAX
STK10	BAX
PLOD1	BAX
TRIP6	BAX
FTL	BAX
LASP1	ADAMTS2
CAPG	ADAMTS2
ELN	ADAMTS2
ZNF263	PGS1
MNT	PGS1
CFH	MMP2
CD9	MMP2
FAS	MMP2
AGPAT4	MMP2
EPHA3	MMP2
FAM107B	MMP2
GLI2	MMP2
COL4A4	MMP2
CASP10	LPCAT2
TFPI	LPCAT2
LUC7L	LPCAT2
CD9	LPCAT2
FYN	LPCAT2
DCN	LPCAT2
VIM	LPCAT2
FAS	LPCAT2
AGPAT4	LPCAT2
TIMP2	LPCAT2
EPHA3	LPCAT2
PREX2	LPCAT2
ARHGAP6	LPCAT2
KITLG	LPCAT2
LIMA1	LPCAT2
ANKRD44	LPCAT2
FAM107B	LPCAT2
RBMS2	LPCAT2
SLC25A43	LPCAT2
RFX3	LPCAT2
ATP8B1	LPCAT2
EPB41L3	LPCAT2
TRAF5	LPCAT2
MECOM	LPCAT2
MMP2	LPCAT2
NDUFS1	L2HGDH
ADSS2	KLHL42
NDUFAB1	AAMDC
UQCRC1	AAMDC
MPC1	AAMDC
NDUFB4	AAMDC
CNTLN	ALG6
ITGB5	EDEM2
ARHGAP33	EPB41L1
ADAM22	EPB41L1
IFFO1	EPB41L1
ANOS1	EPB41L1
ADGRA2	EPB41L1
TIMP2	EPB41L1
LIMA1	EPB41L1
NRIP2	EPB41L1
CDON	EPB41L1
MYLK	EPB41L1
NOTCH3	EPB41L1
EPB41L2	EPB41L1
COL5A3	EPB41L1
SEMA5B	EPB41L1
COL16A1	EPB41L1
REM1	EPB41L1
TMCC3	DOCK9
TIE1	DOCK9
PLXNA2	DOCK9
ZNF263	ANKRD10
FYN	ANKRD10
PI4K2B	ANKRD10
RBMS2	ANKRD10
TULP3	ANKRD10
CAMK2A	C3orf18
TMEM38A	C3orf18
PDK2	COQ9
PNPLA4	COQ9
RRAGD	COQ9
MPC1	COQ9
CS	COQ9
HAGH	COQ9
NDUFB4	COQ9
ACAT1	COQ9
SLC25A3	COQ9
TTC39A	COQ9
PHKA2	PPP1R13B
ACACB	PPP1R13B
NFE2L1	PPP1R13B
C3orf18	PPP1R13B
SEMA3F	SMOX
MCUB	SMOX
IL32	SMOX
PTBP1	SMOX
PLAUR	SMOX
TYMP	SMOX
FAS	SMOX
TNFRSF1B	SMOX
TMSB10	SMOX
RELT	SMOX
OGFR	SMOX
SBNO2	SMOX
RASSF1	SMOX
BCL3	SMOX
TRAF4	SMOX
NFKB2	SMOX
IL4R	SMOX
ELOVL5	FKBP1A
PGM3	FKBP1A
WWTR1	FKBP1A
ADSS2	FKBP1A
ENO1	FKBP1A
TXLNA	ZNF343
OSBPL7	EBF4
BAIAP2L1	EBF4
LUC7L	EBF4
VSIG2	EBF4
FLT4	EBF4
OGFR	EBF4
RASSF1	EBF4
SCARF1	EBF4
HHATL	TESC
TSPAN32	TESC
ADAM11	TESC
FYN	SLC8B1
OSBPL5	SLC8B1
AGPAT4	SLC8B1
DGKA	SLC8B1
TCF3	SLC8B1
STK10	SLC8B1
SCARF1	SLC8B1
